Phone,VMailMessage,DayMins,EveMins,NightMins,IntlMins,CustServCalls,DayCalls,EveCalls,NightCalls,IntlCalls,AccountLength,IntlPlan
374-5353,0,300.3,181,270.1,11.7,0,109,100,73,4,82,0
360-1171,0,61.6,77.1,173,8.2,4,117,85,99,7,144,0
355-8887,0,214.1,164.4,177.5,8.2,2,72,104,113,3,46,0
333-1967,0,170.2,155.2,228.6,15,1,98,102,76,2,70,0
354-4577,0,201.1,303.5,224,13.2,1,99,74,119,2,144,0
331-7425,0,215.4,204.8,278.5,12.6,3,104,79,109,5,116,1
419-2637,25,165.6,136.1,175.7,11,3,123,95,90,2,55,0
411-1530,24,249.5,259.7,222.7,9.8,1,101,98,68,4,70,0
395-3026,0,210.6,249.2,191.4,12.4,2,96,85,88,1,106,0
388-6441,29,179.3,225.9,323,8.6,0,104,86,78,7,128,0
402-1251,0,157.9,155,189.6,8,4,105,101,84,5,94,0
412-9997,0,214.3,208.5,182.4,12,1,118,76,98,2,111,0
346-7302,35,154.1,123.4,202.1,10.9,2,104,84,57,9,74,0
358-9095,0,237.9,247.6,208.9,13.9,1,125,93,68,4,128,0
400-9770,0,143.9,194.9,109.6,11.1,1,61,105,94,2,82,0
334-1275,0,203.4,190.9,196,8.9,0,100,104,119,4,155,0
340-4953,0,124.3,173,253.2,7.9,1,100,107,62,9,80,0
400-9510,0,252.9,178.4,263.9,9.5,3,93,112,105,7,78,0
387-6103,0,179.1,190.6,127.7,10.6,3,71,81,91,7,90,0
366-4467,0,278.4,81,163.2,9.8,1,106,113,137,5,104,0
370-3450,0,160.1,213.3,174.1,13,0,110,72,72,4,73,0
327-3954,0,198.2,207.3,190.9,8.7,4,87,76,113,3,99,0
355-6291,0,212.1,209.4,167.2,5.3,1,131,104,96,5,120,0
362-9748,0,251.8,205.7,275.2,9.8,2,72,126,109,7,77,0
379-6506,21,161.2,252.2,160.2,4.4,4,114,83,92,8,98,0
347-7741,0,178.3,189,129.1,14.6,0,137,76,102,5,108,0
354-3783,0,151.7,119,180,10.5,0,82,105,100,6,135,0
401-7594,0,135,183.6,245.3,12.5,1,99,106,102,9,95,0
397-4976,0,170.5,173.7,248.6,11.3,1,94,109,75,2,122,0
334-2577,0,238.1,187.2,190,11.8,4,65,98,115,4,95,0
400-3637,29,281.4,202.2,187.2,9,2,102,76,113,6,36,0
383-4361,21,117.9,164.5,217,9.8,1,131,115,86,3,93,0
371-4306,32,148.6,131.1,219.4,10.1,1,91,97,142,1,141,0
403-4298,0,229.8,147.9,241.4,9.6,3,90,121,108,7,157,0
409-3786,0,165,317.2,119.2,8.3,1,100,83,86,8,120,0
337-4697,0,185,223.3,222.8,12.6,2,117,94,91,2,103,0
383-1509,0,161,190.9,227.7,12.1,4,117,113,113,4,98,0
359-9794,0,126.7,206,247.8,13.3,1,108,90,114,7,125,0
407-7035,0,58.9,169.6,211.4,9.4,1,125,59,88,3,63,0
363-1069,42,196.8,254.9,138.3,20,0,89,122,126,6,36,1
391-4652,0,162.6,152.3,57.5,14.2,1,83,109,122,3,64,0
355-6837,0,282.5,219.9,170,9.4,1,114,48,115,4,74,0
409-1244,36,113.7,157.5,177.6,10,2,117,82,118,3,112,0
328-3266,0,239.8,214.8,143.3,8.7,2,125,111,81,5,97,0
352-7072,0,210.2,227.3,200.1,13.1,1,92,77,116,7,46,0
370-7550,22,213.8,141.8,142.2,7.2,0,102,86,123,3,41,0
369-5526,0,190.7,183.5,220.8,9.8,3,103,117,103,4,121,0
329-4391,0,170.9,132.3,112.9,11.6,1,124,95,89,3,193,0
408-4195,0,154.2,110.2,227.4,9.2,2,119,98,117,5,130,0
354-4445,0,201.4,229.4,252.5,12,1,52,104,106,3,85,0
335-4858,0,70.7,157.5,154.8,9.1,4,108,87,82,3,162,0
414-8718,27,187.5,146.6,225.7,6.4,4,124,103,129,6,61,0
409-5939,0,91.7,193.7,175,9.2,2,90,123,86,4,92,0
331-4902,36,214.2,161.7,264.7,9.5,3,115,117,102,4,131,0
353-6870,0,145.5,217.7,146.9,10.9,3,92,114,123,2,90,0
355-2909,0,166.3,158.2,256.7,6.1,1,125,86,80,5,75,0
390-6101,0,231,230.4,261.4,9.5,1,115,140,120,3,78,0
400-3446,0,200.3,201.2,206.1,7.1,4,96,102,60,1,82,0
411-5859,0,197,202.6,206.4,9.1,1,109,128,80,10,163,0
387-2919,0,129.9,173.3,247.2,11.2,3,112,83,130,3,91,1
374-8525,21,175.8,217.5,237.5,5.3,5,97,106,134,4,75,0
379-5592,0,203.1,210.1,195.6,12,3,106,113,129,3,91,0
345-8237,36,183.2,126.8,263.3,11.2,1,117,76,71,8,127,0
422-6690,23,205,152,158.6,10.2,2,101,60,59,5,113,0
346-2359,0,148.5,276.4,193.6,12.4,1,115,84,112,3,110,0
374-3534,39,200.3,220.4,253.8,10.5,0,68,97,116,4,120,0
381-4756,28,192.6,195.5,109.7,6.8,3,107,74,139,5,157,0
390-2805,0,246.5,195.5,200.5,11.7,1,47,84,96,4,103,0
390-2390,0,167.1,177.5,249.4,14.1,2,86,87,132,7,117,1
419-9097,0,231.9,160.1,110.4,14.3,3,101,94,98,6,140,0
386-7281,0,146.7,203.5,203.4,13.7,1,91,78,110,3,127,0
380-3561,0,271.5,216.3,121.1,11.7,1,87,126,105,4,83,1
390-8760,0,181.5,218.4,161.6,8.5,1,121,98,103,5,121,0
366-6730,43,257.7,162.1,286.9,11.1,2,97,95,86,4,145,0
395-5285,0,193.8,221.4,172.3,10.6,1,99,125,67,6,113,0
354-3436,0,102.8,206.7,299,10.1,1,119,91,105,7,117,0
336-7600,0,187.9,157.6,227.3,7.5,1,116,117,86,6,65,0
383-6293,0,226,248.5,140.5,6.9,1,112,118,142,11,56,0
362-4596,0,260.4,146,269.5,11.5,5,115,46,87,4,96,0
401-3926,0,178.7,292.1,265.9,9.8,0,116,138,101,4,151,0
370-9116,0,337.4,227.4,153.9,15.8,0,120,116,114,7,83,0
328-6289,23,157.6,247,259.2,13.7,0,129,96,112,2,139,0
350-9994,0,183.6,256.7,178.6,10.2,1,117,72,79,2,6,0
351-4616,24,142.1,183.4,164.8,9.6,1,124,129,114,4,115,0
360-5779,0,136.3,172.2,137.5,7.1,0,97,108,101,5,87,0
417-4885,0,217.1,241.5,253.5,12,0,110,111,103,6,141,0
406-4710,36,187.5,241.4,229.5,10.5,3,99,116,105,5,141,0
409-8743,0,98.9,135.4,236.6,12.2,1,103,122,82,1,62,0
335-4584,0,206.3,148.6,167.2,6.1,1,151,89,91,3,146,0
361-9845,33,243.1,213.8,228.7,12.1,2,92,92,104,2,92,0
366-5699,31,189.8,163.3,264.8,7.5,1,126,133,126,3,185,0
329-9364,0,202,243.2,261.3,10.9,1,102,128,90,3,148,0
390-7434,38,170.1,193.3,105.9,12.8,1,124,116,73,4,94,0
404-9680,0,230.9,187.4,154,6.3,0,87,90,53,2,32,0
338-9398,0,237.1,223.5,97.4,13.2,1,105,105,79,2,68,0
394-2445,27,182.1,169.7,164.7,10.6,2,91,98,86,5,64,0
381-2709,0,119.3,211.5,268.9,10.5,3,87,101,86,4,25,0
397-5060,0,116.8,178.9,182.4,14.1,1,87,93,150,2,65,0
415-2393,0,219.2,149.4,244.7,6.1,0,92,125,104,5,179,0
377-1765,0,252.6,169,170.9,11.1,2,104,125,106,7,94,0
409-2111,0,147.1,190.4,195.2,12.2,0,91,107,115,3,62,0
401-3170,0,202.1,229.4,195.2,11.5,2,103,86,113,3,127,0
405-5681,0,173.5,194.1,208,16.2,3,93,76,112,10,116,0
411-4582,0,232.1,292.3,201.2,0,3,122,112,112,0,70,0
355-5009,23,197.1,214.5,282.2,9.5,4,125,136,103,5,94,1
372-3750,0,58.2,138.7,136.8,11.9,5,94,118,91,1,126,0
405-2888,36,115.6,237.7,169.9,9.9,2,111,94,103,12,67,0
361-3337,0,186.1,254.3,214,14.6,2,98,57,127,7,19,0
350-1639,0,259.9,245,134.4,8.4,3,68,122,121,3,170,1
333-3221,0,214.3,268.5,241.2,10.8,1,145,135,92,13,73,0
422-1471,0,158.7,64.3,198.5,10.2,1,74,139,103,4,106,0
399-7865,0,271.6,229.4,77.3,10.9,2,71,108,121,3,93,0
373-4819,0,160.6,163.2,187.1,9,1,111,126,112,3,164,0
338-6981,0,232.4,187.4,231.2,9.1,1,109,95,107,3,51,0
418-4365,0,133.8,180.5,112.2,8.9,0,85,94,115,4,107,0
359-5461,0,176.9,90.7,238,9.5,1,109,104,69,2,130,0
375-3586,0,209.9,195.1,208.2,8.8,2,74,77,119,4,80,0
407-8376,0,137.5,203.2,150,13.4,0,118,88,131,2,94,0
408-6496,23,289.5,166.6,119.1,9.5,1,52,111,88,4,118,0
385-7688,23,198.1,177,180.5,6.8,1,86,86,92,6,117,0
332-6934,0,149.7,182.2,261.5,9.7,0,119,115,126,8,78,0
378-3625,0,326.5,176.3,181.7,10.7,2,67,113,102,6,208,0
353-7292,26,292.9,199.7,255.3,13.8,4,101,97,127,7,131,1
399-6786,0,83,177,245.7,13,0,64,106,89,3,63,0
358-3261,24,145.7,220.5,249.9,13.1,3,146,136,96,5,53,0
377-9932,0,182.3,328.2,245,11.2,2,101,93,131,1,62,0
397-4030,0,218,184,240.5,6.4,3,86,94,110,8,97,0
367-1062,0,140.6,178.6,217,6.8,2,109,51,83,3,105,0
341-8467,0,152.7,257.5,198.1,9.4,1,105,80,93,4,157,0
339-9453,36,106.7,209.8,190.4,12.1,1,76,77,117,2,66,0
344-3388,0,243.8,83.9,179.8,13.7,2,98,72,84,8,122,0
375-8013,0,194.4,186.7,223.3,10.8,3,94,95,90,5,38,0
408-4142,0,213.9,151.9,260.1,12.2,3,95,70,124,5,106,0
386-3671,0,217.2,246.7,226.1,15.8,3,112,89,89,7,99,0
411-2284,0,241.1,155.6,188.2,11.6,1,72,98,109,10,99,0
346-7795,0,203.5,247.6,194.3,11.9,0,100,103,94,11,144,1
333-5609,24,155.2,244.5,122.4,10.7,1,131,106,68,3,82,0
405-1842,31,167.6,113,246.9,12.2,1,139,118,121,6,86,0
366-6345,0,226.7,228.1,73.2,17.6,2,98,115,93,4,70,1
337-9345,0,179.3,178.6,225.2,11.5,3,93,98,131,6,93,0
328-6770,0,151.4,186.4,172.5,10.9,0,89,76,120,3,93,0
380-7321,0,180,224.2,265.4,4.7,3,80,82,91,7,120,0
375-1476,0,250.2,267.1,151,13,1,121,118,114,2,136,0
356-1567,0,223,110.1,188.7,7.1,0,121,98,107,12,106,0
422-6685,0,183.6,152.6,212.2,12.2,3,116,98,99,6,81,0
336-1090,22,166,174.5,244.9,10.2,1,114,103,68,6,127,0
343-2095,0,136.1,272.9,220.2,4.4,1,112,96,104,2,65,0
345-3934,0,149.3,242.2,174.3,8.9,2,113,122,104,6,35,0
338-8050,0,65.4,168.2,236,13.8,2,97,76,113,1,88,0
388-9568,0,213.4,234.5,250.1,2.7,1,111,94,123,4,65,0
402-6591,0,206.9,244.7,221.5,7.7,3,85,78,136,2,123,0
403-6419,27,186.2,189.6,76.5,9.6,2,78,83,139,3,126,0
386-9790,23,280.2,220.5,136.9,13.3,4,136,92,102,3,104,0
378-5692,22,196.6,313.2,163.3,11.9,0,84,92,108,3,45,0
360-3324,0,312,129.4,217.6,10.5,0,109,100,74,2,93,1
410-3719,36,199,291.3,197.6,11,1,110,111,92,6,63,1
352-4221,0,203.1,217,180.9,13.5,3,96,126,122,2,100,0
327-6179,0,168.8,220.3,154.3,10.9,0,97,87,113,2,53,0
359-6196,0,173.1,240.3,233.2,9,1,140,105,117,5,92,1
374-9107,0,134.4,211.3,193.6,10.2,5,106,98,125,2,139,0
357-4078,40,202.6,118.8,234.9,9,2,103,128,98,9,110,0
366-5780,0,74.5,200.8,192.2,9.8,3,117,98,101,7,110,0
393-9619,0,83.6,120.9,226.6,10.7,0,148,91,110,9,215,0
355-9295,0,192.2,168.6,139.8,9.4,1,86,116,87,6,73,0
400-5751,0,220.2,88.3,195.3,12.9,0,89,125,79,5,138,0
338-1027,0,135.1,134.1,223.1,12.3,2,95,102,81,2,137,1
405-8867,0,253.4,182.4,275.8,8.4,1,77,151,103,2,36,0
336-5616,0,225,176.9,194.3,7.1,3,81,63,110,2,85,0
335-1697,0,198.5,267.8,354.9,9.4,0,99,60,75,3,108,0
331-5138,0,110.3,166.5,202.3,9.5,0,107,93,96,5,22,0
385-8240,37,60,102.2,261.8,11.1,0,102,80,106,3,107,0
348-1359,0,214.8,149.7,283.4,10.2,0,94,58,66,5,51,0
354-7339,0,181.8,202.4,245.9,9.2,4,85,98,97,2,94,0
349-1687,23,154,278,228.4,11.8,2,114,137,112,4,119,0
380-2558,29,157.4,117.9,279.2,13.9,4,99,80,79,11,33,0
365-2153,0,207.9,172,191.8,14.4,4,91,109,143,7,106,0
345-6043,0,207,232.9,172.4,9.1,3,90,83,108,8,82,0
349-2808,41,119,230,236.9,9.5,0,101,134,58,3,86,0
411-1715,0,143.7,273,178.3,10.9,0,117,82,81,3,97,1
385-2488,32,165.9,216.5,173.1,14.1,4,126,93,86,8,106,0
377-7177,0,138.6,172.3,231.6,9.8,1,122,117,92,3,108,0
342-1099,0,84.7,249.9,193.4,14.5,1,118,86,95,8,114,0
386-4170,0,62.6,180.6,221.7,10.4,1,111,126,80,2,92,1
413-1269,0,155.2,235.3,169.4,8.7,1,79,123,80,4,59,0
396-4460,25,164.9,209.3,231.2,6.7,1,110,105,55,9,24,0
334-2730,0,134.5,143.1,223.9,15.4,1,88,112,61,1,151,0
340-3182,0,143.3,211.3,185.2,11.5,1,103,108,96,3,117,0
377-8608,0,168.3,221.2,241,12.5,1,110,73,136,1,78,0
417-3676,0,262.4,194.6,146.5,8.3,2,55,113,85,6,155,0
417-6774,30,206.2,260,291.6,11.4,1,79,91,83,6,114,0
411-9554,28,225.8,193,232.4,8.4,4,94,117,100,9,114,0
420-3192,0,138.3,170.5,263.9,13.5,3,89,78,98,6,119,0
389-1475,48,94.4,136.2,147.4,4.5,0,104,101,89,4,64,0
343-7734,0,160,175.4,184.8,9.9,2,123,96,99,3,118,1
410-3390,0,206.6,224.9,249.9,14.6,0,105,117,100,3,101,0
344-6495,0,134.7,180,200.9,7.7,1,121,83,104,3,117,0
331-6229,28,214.4,235.2,206.2,8,3,78,100,107,13,49,0
337-7501,0,192.8,234.4,203.2,13,3,104,96,101,3,139,0
339-9631,28,151.1,194.8,239.2,10,1,90,79,114,3,92,0
369-4384,0,221.4,231.8,122.5,9.8,3,103,103,100,5,83,0
416-3915,0,218.9,208,203.3,11.1,0,88,85,99,4,148,1
339-3049,48,189.8,123.4,214.2,6.5,2,96,67,106,2,144,0
361-7998,25,192.7,225.9,254.2,10.9,2,85,105,59,6,131,0
355-4842,0,204.4,219.1,222.7,10.5,3,135,90,114,6,146,1
387-6440,0,172.3,174,188.2,13,2,97,108,119,4,143,0
369-2625,0,198.4,210.9,193.3,10.4,2,93,108,71,6,81,0
389-7073,37,211.7,159.9,144.1,12.2,1,115,84,80,1,48,0
370-8463,28,221.6,288.4,240.3,9,1,74,100,105,2,86,0
362-7318,0,197.9,181.5,281.4,6.7,3,108,109,56,5,71,0
412-1194,24,147.5,175.7,252.1,15.6,2,90,108,102,3,145,0
355-9508,0,206.4,128,194.5,8.8,2,122,102,84,5,137,0
352-8202,0,205.9,209.3,289.9,14.5,2,88,86,84,4,137,0
335-5882,0,207.6,132.4,255.2,14.1,0,88,63,98,5,167,0
352-6976,0,303.9,260.9,312.1,5.3,1,95,114,89,3,89,0
393-6733,34,230.6,219.4,299.3,8,0,121,99,94,2,199,0
335-1838,0,99.5,129.1,125.1,9.7,0,110,80,124,3,132,0
355-6930,0,177.1,194,146.7,5.9,1,112,112,108,4,94,0
387-5860,37,172.7,120.1,216.1,10.3,5,93,116,86,5,96,0
343-2605,18,172.7,133.4,259.5,9.8,1,86,113,70,3,96,0
350-6759,0,204.2,179.9,216.8,9.5,1,115,152,109,5,166,0
371-1514,0,85.7,247.7,142.4,10.1,2,83,67,85,5,74,0
346-9317,0,157.6,184.3,240.4,11.9,0,117,58,99,1,36,0
398-4313,0,215.5,218.7,207.1,6.6,4,129,117,91,9,113,0
412-4399,0,181.5,199.9,287.7,6.6,1,98,88,114,5,94,0
330-1835,0,171.7,110.4,195.4,11.9,2,80,81,111,4,67,0
416-1676,0,266.6,264.8,207.2,5.9,1,106,168,119,2,127,0
329-7347,0,170.4,350.5,297,11.2,0,108,68,87,3,121,0
360-6868,0,158,292.5,241.1,9.1,1,106,114,89,4,158,0
405-6641,0,92,253.6,214.1,10.3,1,117,77,90,10,136,0
393-2373,0,234,249.5,173.1,9.1,2,109,114,70,5,196,0
419-1714,0,272.1,268.5,213.8,8.5,1,111,118,105,10,113,0
336-3819,0,296.4,214.8,133.9,11.4,4,99,89,107,3,122,0
341-3464,0,194.4,190.3,183.4,11.4,0,101,82,107,2,112,0
413-5310,0,227.2,258.4,183.5,8.9,3,128,92,74,4,209,0
366-7912,0,248.7,220,265.7,13.2,1,109,118,78,2,62,0
399-8845,38,236.3,195.9,183.5,9.7,1,102,112,82,6,110,0
368-2583,0,205.6,169.5,220.1,10.9,0,69,93,64,3,16,0
360-6309,0,94.1,280.3,205,9.8,0,136,122,77,4,73,0
359-5890,0,125.2,205.4,254.4,18.9,0,99,107,111,2,128,0
332-2462,0,60.4,306.2,123.9,12.4,1,158,120,46,3,39,0
381-9196,28,121,270.4,160.5,7.7,2,105,100,76,4,103,0
329-3222,29,117.8,256.8,147.6,7.6,3,66,114,76,3,119,0
363-5819,21,232.4,211.9,273,5,3,96,118,102,5,173,0
413-9269,32,223.5,188.8,154.9,9.4,2,81,74,101,2,128,1
330-7483,0,176.3,259.2,287.4,6.2,0,79,97,78,3,86,0
403-7775,32,125.2,177.8,232.4,12.9,1,79,105,89,3,114,0
360-2479,0,138.7,256.9,234.9,10,0,107,113,74,3,104,0
394-3791,0,86.3,246.6,251.6,11.3,1,134,92,91,4,148,0
384-2632,0,207,154.9,245.1,13.4,3,91,121,112,5,129,0
359-8466,30,58.8,219.5,152.3,7.1,0,104,107,118,3,100,0
331-8909,35,68.7,209.2,197.4,11.4,1,95,69,42,4,121,0
359-5160,33,239.2,235.5,156.3,9.5,1,109,112,95,4,143,0
330-9833,0,198.3,217.1,188.4,12.5,0,130,86,96,3,76,0
362-2314,0,205.2,240.6,79.7,14.4,0,97,77,108,12,158,0
338-8478,0,192.1,312.9,130.2,7.9,3,98,135,94,2,116,0
387-5453,0,272.6,248.7,197.4,9.5,1,83,74,111,2,54,0
380-3437,0,128.3,197.1,138.4,12.2,7,121,93,152,5,86,0
365-8779,0,169.6,264.1,206.3,9.3,0,99,87,78,4,108,0
407-2750,0,201.3,152.8,233.2,7.5,1,95,66,101,4,66,0
396-8265,17,214.7,138.5,169.1,8.6,1,97,90,44,4,151,0
397-4304,0,169.2,271.5,170.2,10.6,0,70,77,104,2,99,0
333-2611,0,194.1,176.6,302.8,7,2,121,110,136,7,55,0
409-8814,0,233.8,266.5,212.7,7.6,2,104,94,104,3,77,0
336-5406,0,225.1,199.2,175.5,14.6,0,67,127,102,2,78,0
343-6940,0,213,176.6,262.6,9.1,1,63,71,126,1,89,0
361-9923,0,183.9,255.9,275,10.8,1,115,101,145,11,101,0
350-6639,34,221.8,161.7,227.7,14,0,105,85,62,7,44,0
376-4300,21,64.6,176.1,244.8,0,2,98,86,84,0,98,0
349-6567,37,154.6,83.4,165.9,13.3,1,92,103,99,3,64,0
333-7749,0,260.2,179.2,135,7.2,3,131,120,119,8,141,0
408-6089,33,161.6,123,261.3,12.2,1,117,90,101,5,81,0
375-2165,0,220.6,155.2,186.7,10.5,1,117,121,89,11,162,0
400-6999,41,155.9,162.3,127.6,13.1,3,122,107,105,5,83,0
420-7823,0,107,105.7,243.1,12.8,4,63,67,74,3,100,0
366-5241,0,182.5,204.7,229.9,11.3,4,104,95,100,8,59,0
413-3412,38,220.1,234.3,237.3,10.1,4,78,71,85,4,179,1
406-2752,0,152.2,177.2,96.4,5.3,1,112,132,87,3,79,0
337-8078,0,181.5,205.1,204,14.7,2,95,88,82,9,117,0
402-1942,0,236.2,218.6,194.1,13.2,2,77,85,97,2,64,1
371-7917,0,166.1,79.3,213.7,12.7,1,105,93,98,2,31,0
343-6374,0,244.6,188.8,206,11.3,1,89,80,114,4,124,1
385-8730,23,134.2,227.3,122.4,8.5,2,85,132,96,2,122,0
393-7892,39,149.7,211.1,114.3,9.2,1,122,75,90,4,37,1
407-6748,29,150.1,264.7,178.4,5.8,1,109,103,97,4,90,0
341-4463,0,257.1,312.2,183,8.8,1,53,127,82,6,159,1
351-2587,0,124.4,179.7,253,11.3,0,83,81,99,6,148,0
421-9752,36,141.7,232.3,222.1,12,1,121,113,131,5,39,0
356-4001,0,230,103.2,309.6,11.3,2,87,138,136,3,77,0
328-9869,0,162.3,213.7,192.1,10.9,0,88,118,81,2,194,0
343-5709,0,350.8,216.5,253.9,10.1,1,75,94,100,9,154,0
334-1872,0,193.3,264.1,128.6,9.1,4,96,123,115,3,112,0
350-1040,0,78.2,253.4,255,18,1,127,108,100,3,45,0
369-3214,0,83.4,232.2,146.7,7.6,1,110,137,114,5,132,0
385-6778,0,195.6,267.8,164.9,16,0,99,120,76,2,128,0
383-7689,0,201.8,225,204.4,10.3,1,81,114,82,6,135,0
385-5722,0,197,222.8,225.3,10.6,2,110,102,91,6,56,0
357-1909,0,218,114.4,269.2,12.4,0,57,88,95,1,151,1
364-3567,0,164.8,229.9,167.3,14.8,2,98,96,108,2,32,0
422-4241,0,179.2,210.7,276.9,9.2,2,77,99,58,6,90,0
370-2957,21,214,180,134.5,10.6,0,113,114,82,5,87,0
329-6562,0,170.5,118.2,187.9,11.2,2,87,116,111,7,138,0
363-3515,0,205.7,214.5,226.1,6.7,1,123,108,106,18,79,0
374-7787,0,165.5,286.2,198.9,11.5,1,84,112,89,2,95,1
345-2931,0,221,160.7,233.1,6.8,2,100,113,96,4,127,0
373-5732,0,242.1,191,218.6,14.7,3,118,93,50,2,137,0
348-7437,0,151.6,155.4,240,14.7,1,107,96,112,4,97,0
